equip v配备,装备
no/ɒ/tch n缺口，位阶v获得赢得
wayward a难以控制的，任性的
wanderer n漫游者，流浪者
pinpoint v准确指出n极小的光点
swarm n一大群，一大批v成群地来回移动
insignificant a微不足道的
significant a重要的，显著的
stalwart a坚定的，健壮的n坚定分子
shell n炮弹，外壳，表面性格v炮击
resilience n快速恢复的能力，弹力
invulnerable a无坚不摧的，安全的
sha/ei/ma/ə/n n萨满
strike v攻击n击，罢工
generation n一代人，一届
foe n敌人
creature n生物
eccentric a古怪的，n古怪的人
likeness n相似
move_around 走来走去
a_swarm_of 一群
sprint v冲刺n短距离快速奔跑(游泳)
overtake v赶上，超过，(不幸)突然降临
rival n竞争对手v与...匹敌，比得上a竞争的
grub n幼虫，蛆v翻找
gratitude n感激
elegy n挽诗，挽歌
imbue v使充满，灌输，激发
holy a神圣的
