==> (2022, 8, 13, 1, 40, 3) | [MyEasylogger] 日志建立
==> (2022, 8, 13, 1, 40, 3) | [MyEasylogger] MyEasylogger类被实例化
==> (2022, 8, 13, 1, 40, 3) | [debug] 输出目录./out/不存在, 已经成功建立...
==> (2022, 8, 13, 1, 40, 3) | [log] 开始下载,漫画目录s链接为:http://rimanb.com/book/2407
==> (2022, 8, 13, 1, 40, 3) | [log] 正在获取章节目录...
==> (2022, 8, 13, 1, 40, 4) | [log] 章节目录获取完成,共231个项目...
==> (2022, 8, 13, 1, 40, 4) | [log] !!!章节进度: 1(1-232) (1/232)
==> (2022, 8, 13, 1, 40, 4) | [debug] 创建目录./out/capture001/
==> (2022, 8, 13, 1, 40, 4) | [log] !图片进度: (1/48)
==> (2022, 8, 13, 1, 40, 5) | [log] 下载图片并保存为./out/capture001/page01..jpg完成...
==> (2022, 8, 13, 1, 40, 5) | [log] !图片进度: (2/48)
==> (2022, 8, 13, 1, 40, 6) | [log] 下载图片并保存为./out/capture001/page02..jpg完成...
==> (2022, 8, 13, 1, 40, 6) | [log] !图片进度: (3/48)
==> (2022, 8, 13, 1, 40, 7) | [log] 下载图片并保存为./out/capture001/page03..jpg完成...
==> (2022, 8, 13, 1, 40, 7) | [log] !图片进度: (4/48)
==> (2022, 8, 13, 1, 40, 8) | [log] 下载图片并保存为./out/capture001/page04..jpg完成...
==> (2022, 8, 13, 1, 40, 8) | [log] !图片进度: (5/48)
==> (2022, 8, 13, 1, 40, 10) | [log] 下载图片并保存为./out/capture001/page05..jpg完成...
==> (2022, 8, 13, 1, 40, 10) | [log] !图片进度: (6/48)
==> (2022, 8, 13, 1, 40, 11) | [log] 下载图片并保存为./out/capture001/page06..jpg完成...
==> (2022, 8, 13, 1, 40, 11) | [log] !图片进度: (7/48)
==> (2022, 8, 13, 1, 40, 12) | [log] 下载图片并保存为./out/capture001/page07..jpg完成...
==> (2022, 8, 13, 1, 40, 12) | [log] !图片进度: (8/48)
==> (2022, 8, 13, 1, 40, 13) | [log] 下载图片并保存为./out/capture001/page08..jpg完成...
==> (2022, 8, 13, 1, 40, 13) | [log] !图片进度: (9/48)
==> (2022, 8, 13, 1, 40, 14) | [log] 下载图片并保存为./out/capture001/page09..jpg完成...
==> (2022, 8, 13, 1, 40, 14) | [log] !图片进度: (10/48)
==> (2022, 8, 13, 1, 40, 15) | [log] 下载图片并保存为./out/capture001/page10..jpg完成...
==> (2022, 8, 13, 1, 40, 15) | [log] !图片进度: (11/48)
==> (2022, 8, 13, 1, 40, 16) | [log] 下载图片并保存为./out/capture001/page11..jpg完成...
==> (2022, 8, 13, 1, 40, 16) | [log] !图片进度: (12/48)
==> (2022, 8, 13, 1, 40, 17) | [log] 下载图片并保存为./out/capture001/page12..jpg完成...
==> (2022, 8, 13, 1, 40, 17) | [log] !图片进度: (13/48)
==> (2022, 8, 13, 1, 40, 18) | [log] 下载图片并保存为./out/capture001/page13..jpg完成...
==> (2022, 8, 13, 1, 40, 18) | [log] !图片进度: (14/48)
==> (2022, 8, 13, 1, 40, 19) | [log] 下载图片并保存为./out/capture001/page14..jpg完成...
==> (2022, 8, 13, 1, 40, 19) | [log] !图片进度: (15/48)
==> (2022, 8, 13, 1, 40, 20) | [log] 下载图片并保存为./out/capture001/page15..jpg完成...
==> (2022, 8, 13, 1, 40, 20) | [log] !图片进度: (16/48)
==> (2022, 8, 13, 1, 40, 21) | [log] 下载图片并保存为./out/capture001/page16..jpg完成...
==> (2022, 8, 13, 1, 40, 21) | [log] !图片进度: (17/48)
==> (2022, 8, 13, 1, 40, 22) | [log] 下载图片并保存为./out/capture001/page17..jpg完成...
==> (2022, 8, 13, 1, 40, 22) | [log] !图片进度: (18/48)
==> (2022, 8, 13, 1, 40, 23) | [log] 下载图片并保存为./out/capture001/page18..jpg完成...
==> (2022, 8, 13, 1, 40, 23) | [log] !图片进度: (19/48)
==> (2022, 8, 13, 1, 40, 24) | [log] 下载图片并保存为./out/capture001/page19..jpg完成...
==> (2022, 8, 13, 1, 40, 24) | [log] !图片进度: (20/48)
==> (2022, 8, 13, 1, 40, 25) | [log] 下载图片并保存为./out/capture001/page20..jpg完成...
==> (2022, 8, 13, 1, 40, 25) | [log] !图片进度: (21/48)
==> (2022, 8, 13, 1, 40, 26) | [log] 下载图片并保存为./out/capture001/page21..jpg完成...
==> (2022, 8, 13, 1, 40, 26) | [log] !图片进度: (22/48)
==> (2022, 8, 13, 1, 40, 27) | [log] 下载图片并保存为./out/capture001/page22..jpg完成...
==> (2022, 8, 13, 1, 40, 27) | [log] !图片进度: (23/48)
==> (2022, 8, 13, 1, 40, 28) | [log] 下载图片并保存为./out/capture001/page23..jpg完成...
==> (2022, 8, 13, 1, 40, 28) | [log] !图片进度: (24/48)
==> (2022, 8, 13, 1, 40, 29) | [log] 下载图片并保存为./out/capture001/page24..jpg完成...
==> (2022, 8, 13, 1, 40, 29) | [log] !图片进度: (25/48)
==> (2022, 8, 13, 1, 40, 31) | [log] 下载图片并保存为./out/capture001/page25..jpg完成...
==> (2022, 8, 13, 1, 40, 31) | [log] !图片进度: (26/48)
==> (2022, 8, 13, 1, 40, 32) | [log] 下载图片并保存为./out/capture001/page26..jpg完成...
==> (2022, 8, 13, 1, 40, 32) | [log] !图片进度: (27/48)
==> (2022, 8, 13, 1, 40, 33) | [log] 下载图片并保存为./out/capture001/page27..jpg完成...
==> (2022, 8, 13, 1, 40, 33) | [log] !图片进度: (28/48)
==> (2022, 8, 13, 1, 40, 34) | [log] 下载图片并保存为./out/capture001/page28..jpg完成...
==> (2022, 8, 13, 1, 40, 34) | [log] !图片进度: (29/48)
==> (2022, 8, 13, 1, 40, 35) | [log] 下载图片并保存为./out/capture001/page29..jpg完成...
==> (2022, 8, 13, 1, 40, 35) | [log] !图片进度: (30/48)
==> (2022, 8, 13, 1, 40, 37) | [log] 下载图片并保存为./out/capture001/page30..jpg完成...
==> (2022, 8, 13, 1, 40, 37) | [log] !图片进度: (31/48)
==> (2022, 8, 13, 1, 40, 39) | [log] 下载图片并保存为./out/capture001/page31..jpg完成...
==> (2022, 8, 13, 1, 40, 39) | [log] !图片进度: (32/48)
==> (2022, 8, 13, 1, 40, 40) | [log] 下载图片并保存为./out/capture001/page32..jpg完成...
==> (2022, 8, 13, 1, 40, 40) | [log] !图片进度: (33/48)
==> (2022, 8, 13, 1, 40, 41) | [log] 下载图片并保存为./out/capture001/page33..jpg完成...
==> (2022, 8, 13, 1, 40, 41) | [log] !图片进度: (34/48)
==> (2022, 8, 13, 1, 40, 42) | [log] 下载图片并保存为./out/capture001/page34..jpg完成...
==> (2022, 8, 13, 1, 40, 42) | [log] !图片进度: (35/48)
==> (2022, 8, 13, 1, 40, 43) | [log] 下载图片并保存为./out/capture001/page35..jpg完成...
==> (2022, 8, 13, 1, 40, 43) | [log] !图片进度: (36/48)
==> (2022, 8, 13, 1, 40, 44) | [log] 下载图片并保存为./out/capture001/page36..jpg完成...
==> (2022, 8, 13, 1, 40, 44) | [log] !图片进度: (37/48)
==> (2022, 8, 13, 1, 40, 45) | [log] 下载图片并保存为./out/capture001/page37..jpg完成...
==> (2022, 8, 13, 1, 40, 45) | [log] !图片进度: (38/48)
==> (2022, 8, 13, 1, 40, 46) | [log] 下载图片并保存为./out/capture001/page38..jpg完成...
==> (2022, 8, 13, 1, 40, 46) | [log] !图片进度: (39/48)
==> (2022, 8, 13, 1, 40, 47) | [log] 下载图片并保存为./out/capture001/page39..jpg完成...
==> (2022, 8, 13, 1, 40, 47) | [log] !图片进度: (40/48)
==> (2022, 8, 13, 1, 40, 47) | [log] 下载图片并保存为./out/capture001/page40..jpg完成...
==> (2022, 8, 13, 1, 40, 47) | [log] !图片进度: (41/48)
